time_us,x_g,y_g,z_g,time_ms
890011,0.0273,0.0507,0.9126,890.011
892504,0.0273,0.0468,0.9087,892.504
895008,0.0351,0.0468,0.9204,895.008
897507,0.0234,0.0507,0.9087,897.507
900001,0.0351,0.0468,0.9087,900.001
902524,0.0312,0.0546,0.9048,902.524
905005,0.0273,0.0585,0.9048,905.005
907535,0.0273,0.0507,0.897,907.535
910015,0.0351,0.0468,0.9126,910.015
912522,0.0312,0.0546,0.9126,912.522
915006,0.0351,0.0429,0.9009,915.006
917507,0.0312,0.0585,0.9048,917.507
920013,0.0273,0.0429,0.9126,920.013
922525,0.0273,0.0507,0.9009,922.525
925017,0.0312,0.0507,0.9087,925.017
927527,0.0351,0.0546,0.9126,927.527
930017,0.039,0.0468,0.9165,930.017
932577,0.0351,0.0429,0.9048,932.577
935020,0.0273,0.0468,0.9048,935.02
937753,0.0273,0.0468,0.9165,937.753
940004,0.0273,0.0468,0.9165,940.004
942503,0.0351,0.0468,0.9009,942.503
945015,0.0312,0.0468,0.9087,945.015
947532,0.0312,0.0468,0.9165,947.532
950017,0.0273,0.0546,0.9165,950.017
952521,0.0273,0.0468,0.9087,952.521
955008,0.0234,0.0468,0.8931,955.008
957527,0.0312,0.0546,0.9087,957.527
960023,0.0312,0.0429,0.9165,960.023
962529,0.039,0.0468,0.9126,962.529
965009,0.039,0.0507,0.9048,965.009
967515,0.0273,0.0468,0.9126,967.515
970006,0.0312,0.0507,0.9087,970.006
972536,0.0312,0.0546,0.9126,972.536
975021,0.0351,0.0468,0.9087,975.021
977519,0.0351,0.0585,0.9009,977.519
980016,0.0273,0.0546,0.9048,980.016
982501,0.0312,0.0468,0.9048,982.501
985016,0.039,0.0507,0.9087,985.016
987504,0.0312,0.0429,0.9165,987.504
990007,0.0273,0.0507,0.9087,990.007
992506,0.0273,0.0507,0.9126,992.506
995027,0.0273,0.0507,0.9048,995.027
997533,0.0351,0.0507,0.9048,997.533
1000005,0.0312,0.0468,0.9048,1000.005
1002501,0.0234,0.0507,0.9165,1002.501
1005008,0.0351,0.0546,0.9087,1005.008
