time_us,x_g,y_g,z_g,time_ms,cue_time_us
1080008,0.0468,0.3042,0.9204,1080.008,500000
1082510,0.0429,0.0819,0.975,1082.51,500000
1085010,0.1053,0.0975,0.9516,1085.01,500000
1087514,0.078,0.0663,0.9789,1087.514,500000
1090016,0.0741,0.1404,0.8892,1090.016,500000
1092512,0.0351,-0.0663,1.0062,1092.512,500000
1095022,0.0351,0.0702,0.9516,1095.022,500000
1097509,0.039,0.0975,0.936,1097.509,500000
1100018,0.0702,0.0546,1.0101,1100.018,500000
1102523,0.0351,0.0975,1.0023,1102.523,500000
1105004,0.0468,0.0156,1.0608,1105.004,500000
1107512,0.0468,0.078,1.0452,1107.512,500000
1110018,0.0312,0.0897,0.9984,1110.018,500000
1112521,0.0468,0.0702,1.0257,1112.521,500000
1115026,0.0156,0.0663,1.0374,1115.026,500000
1117504,0.0156,0.0663,1.0374,1117.504,500000
1120006,0.0351,0.0546,1.0491,1120.006,500000
1122501,0.0468,0.1092,1.0374,1122.501,500000
1125003,0.0351,0.0663,1.0452,1125.003,500000
1127512,0.0273,0.0624,1.053,1127.512,500000
1130016,0.0234,0.0507,1.0686,1130.016,500000
1132513,0.0117,0.0663,1.1037,1132.513,500000
1135023,0.0039,0.0936,1.1349,1135.023,500000
1137501,0.0,0.1872,1.1778,1137.501,500000
1140008,0.0234,0.078,1.0803,1140.008,500000
1142510,0.0546,-0.0546,0.9477,1142.51,500000
1145028,0.0351,-0.2145,0.9672,1145.028,500000
1147503,0.3393,-0.0975,0.9633,1147.503,500000
1150009,-0.4056,-0.0507,1.0023,1150.009,500000
1152507,-0.2769,0.2418,1.1739,1152.507,500000
1155002,-0.0195,0.1365,1.0491,1155.002,500000
1157506,0.1209,0.0546,1.0881,1157.506,500000
1160010,0.1365,0.0156,1.0686,1160.01,500000
1162528,0.0975,0.039,1.0725,1162.528,500000
1165026,0.0624,0.0858,1.1115,1165.026,500000
1167529,0.0312,0.1092,1.0881,1167.529,500000
1170010,0.0156,0.0624,1.092,1170.01,500000
1172504,0.0429,0.0117,1.0608,1172.504,500000
1175014,0.039,0.0351,1.0647,1175.014,500000
1177513,0.0156,0.0897,1.0959,1177.513,500000
1180003,0.0195,0.0819,1.0764,1180.003,500000
1182527,0.0351,0.0351,1.0686,1182.527,500000
1185012,0.0351,0.0195,1.0569,1185.012,500000
1187518,0.0273,0.0468,1.0647,1187.518,500000
1190021,0.0273,0.0624,1.0569,1190.021,500000
1192518,0.0312,0.0624,1.0569,1192.518,500000
1195004,0.0273,0.0546,1.0452,1195.004,500000
1197507,0.0273,0.0585,1.0257,1197.507,500000
1200012,0.0273,0.0507,1.0374,1200.012,500000
1202507,0.0273,0.0546,1.0296,1202.507,500000
1205025,0.0312,0.0468,1.0296,1205.025,500000
1207528,0.0273,0.0351,1.0218,1207.528,500000
1210003,0.0351,0.0468,1.0179,1210.003,500000
1212503,0.0273,0.0468,1.0257,1212.503,500000
1215026,0.0234,0.0624,1.0257,1215.026,500000
1217530,0.0234,0.0546,1.0179,1217.53,500000
1220003,0.0234,0.0546,1.0101,1220.003,500000
1222501,0.0351,0.0429,1.0023,1222.501,500000
1225002,0.0351,0.0429,1.0023,1225.002,500000
1227512,0.0312,0.0507,1.0023,1227.512,500000
1230018,0.0273,0.0624,0.9984,1230.018,500000
1232517,0.0429,0.0546,0.9984,1232.517,500000
1235023,0.0351,0.0507,1.0101,1235.023,500000
1237502,0.0312,0.0585,0.9984,1237.502,500000
1240003,0.0351,0.0546,0.9984,1240.003,500000
1242523,0.0312,0.0546,0.9945,1242.523,500000
1245025,0.0351,0.0624,0.9984,1245.025,500000
1247502,0.0273,0.039,0.9984,1247.502,500000
1250002,0.039,0.0351,0.9945,1250.002,500000
1252504,0.0312,0.0429,0.9828,1252.504,500000
1255025,0.0351,0.0546,0.9789,1255.025,500000
1257529,0.0234,0.0585,0.9867,1257.529,500000
1260003,0.0351,0.0624,0.9945,1260.003,500000
1262528,0.0429,0.0468,0.9984,1262.528,500000
1265024,0.0273,0.0585,0.9828,1265.024,500000
1267523,0.039,0.0507,0.9867,1267.523,500000
1270003,0.0312,0.0429,0.9867,1270.003,500000
1272528,0.0312,0.0507,0.9828,1272.528,500000
1275006,0.0351,0.0429,0.9789,1275.006,500000
1277500,0.0351,0.0507,0.9789,1277.5,500000
1280021,0.0312,0.0429,0.9633,1280.021,500000
1282519,0.0273,0.0507,0.9711,1282.519,500000
1285013,0.0312,0.0429,0.9672,1285.013,500000
1287523,0.0351,0.0468,0.9789,1287.523,500000
1290000,0.0273,0.0507,0.9711,1290.0,500000
1292513,0.0312,0.0546,0.975,1292.513,500000
1295005,0.0312,0.0546,0.975,1295.005,500000
1297514,0.0273,0.0546,0.9711,1297.514,500000
1300021,0.0351,0.0507,0.9672,1300.021,500000
1302523,0.0312,0.0546,0.9633,1302.523,500000
1305006,0.0351,0.0546,0.9711,1305.006,500000
1307515,0.0312,0.0507,0.9594,1307.515,500000
1310021,0.0351,0.0585,0.9477,1310.021,500000
1312522,0.0312,0.0546,0.9594,1312.522,500000
1315021,0.0312,0.0507,0.9633,1315.021,500000
1317527,0.0351,0.0624,0.9633,1317.527,500000
1320003,0.0351,0.0585,0.9516,1320.003,500000
1322502,0.0351,0.0507,0.9516,1322.502,500000
1325022,0.0312,0.0507,0.9594,1325.022,500000
1327525,0.0351,0.0546,0.9555,1327.525,500000
1330000,0.0351,0.0585,0.9633,1330.0,500000
1332501,0.0312,0.0585,0.9594,1332.501,500000
1335004,0.0312,0.0585,0.9594,1335.004,500000
1337514,0.0351,0.0546,0.9516,1337.514,500000
1340015,0.0273,0.0585,0.9594,1340.015,500000
1342517,0.0312,0.0468,0.9516,1342.517,500000
1345021,0.0312,0.0507,0.9516,1345.021,500000
1347500,0.0624,0.0819,0.9438,1347.5,500000
1350009,0.0273,0.0624,0.9594,1350.009,500000
1352517,0.0312,0.0585,0.9516,1352.517,500000
1355008,0.0312,0.0546,0.9438,1355.008,500000
1357519,0.0273,0.0585,0.9438,1357.519,500000
1360010,0.0312,0.0468,0.9516,1360.01,500000
